Radius(in miles),Latitude,Longitude
100.00,37.959556,-92.740779
50.00,39.868417,-92.312100
50.00,39.840172,-93.925604
25.00,39.156096,-91.307723
50.00,37.230306,-90.430123
10.00,38.787749,-90.377932
10.00,38.754083,-91.044130
10.00,38.539573,-90.906801
10.00,37.996163,-90.349245
10.00,38.028622,-90.722780
10.00,38.294248,-90.766726
10.00,38.195022,-90.550175
10.00,38.492294,-90.487003
10.00,38.724091,-90.703983
10.00,38.925229,-90.838137
5.00,38.639927,-90.275461
25.00,36.857648,-94.170170
10.00,39.078908,-94.416933
10.00,38.795838,-94.418092
5.00,39.236508,-94.588594
5.00,39.328986,-94.724336
5.00,39.440435,-94.812441
5.00,39.667028,-94.886599
5.00,39.546412,-94.985476
5.00,39.550648,-94.834413
5.00,39.063982,-94.068117
5.00,38.953001,-94.186220
5.00,38.593260,-94.504824
5.00,38.455740,-94.518557
5.00,37.155939,-94.524050
5.00,37.234702,-94.400454
5.00,37.298090,-94.521303
5.00,37.435612,-94.526796
5.00,36.567012,-94.521303
5.00,36.582452,-93.760500
5.00,36.569218,-93.592958
5.00,36.569218,-93.397951
5.00,36.562600,-92.016420
10.00,36.648589,-91.197939
10.00,36.639774,-91.560488
5.00,36.595684,-91.829653
10.00,36.873029,-91.387453
5.00,36.571424,-90.945253
10.00,36.905980,-89.448795
10.00,36.421282,-89.720707
10.00,36.146747,-89.825077
10.00,36.701457,-89.610415
5.00,36.899391,-89.209413
5.00,36.708064,-89.302797
5.00,36.474307,-90.041628
5.00,36.575835,-89.871340
5.00,36.337253,-89.972963
5.00,36.206607,-90.049868
5.00,36.073522,-90.044375
5.00,36.075742,-90.189943
25.00,40.225024,-94.951057
10.00,40.434405,-95.477543
10.00,40.434405,-93.126469
5.00,40.505446,-93.379154
5.00,40.514843,-92.866917
5.00,40.499181,-94.510317
5.00,39.597223,-91.335268
