Radius(in miles),Latitude,Longitude
100.00,35.050604,-92.672532
25.00,33.401895,-93.601181
25.00,33.376429,-92.736063
25.00,33.369525,-91.870969
25.00,36.129002,-94.112062
25.00,36.106815,-90.901737
25.00,35.478565,-90.555668
10.00,35.045738,-90.784492
10.00,35.029996,-90.478334
10.00,34.755153,-90.766726
10.00,34.495239,-90.857363
10.00,34.098159,-91.143007
10.00,33.890937,-91.359987
10.00,33.744897,-91.609926
10.00,33.605470,-91.349001
10.00,33.158248,-91.332521
10.00,33.392466,-91.305056
10.00,33.820230,-93.884096
10.00,33.717486,-94.301577
10.00,34.002581,-94.293337
10.00,34.293530,-94.290590
10.00,35.855666,-90.003176
10.00,35.853440,-90.373964
10.00,36.341678,-90.288820
10.00,36.348315,-91.456118
10.00,36.352739,-91.815920
10.00,34.288992,-91.022587
5.00,36.423493,-93.781528
5.00,36.322871,-93.675141
5.00,36.425702,-93.635316
5.00,36.423493,-93.467774
5.00,36.421282,-93.294740
5.00,36.350527,-93.550172
5.00,36.424045,-94.515123
5.00,36.310699,-94.494996
5.00,36.422387,-94.357667
5.00,35.750970,-94.282136
5.00,35.824494,-94.402986
5.00,35.696340,-94.391999
5.00,35.571332,-94.365907
5.00,34.492975,-94.372773
5.00,34.023071,-94.032412
5.00,33.635202,-94.059877
5.00,33.874976,-94.114809
5.00,34.152727,-94.114809
5.00,33.093843,-93.258305
5.00,33.084638,-93.082094
5.00,33.082337,-92.395449
5.00,33.073131,-92.233400
5.00,33.178939,-92.304811
5.00,33.199626,-93.169985
5.00,33.091541,-93.955507
5.00,33.610045,-93.169985
5.00,33.589455,-92.304811
5.00,33.078885,-91.539888
5.00,33.881817,-91.112795
5.00,33.776864,-91.195192
5.00,36.141202,-90.368257
5.00,36.421282,-90.530305
5.00,36.425702,-91.223817
5.00,36.426810,-90.692353
5.00,36.425702,-91.065888
5.00,36.133438,-91.423159
5.00,36.035774,-90.439882
5.00,35.643905,-90.052614
5.00,35.685187,-91.005464
5.00,36.416862,-92.060366
5.00,35.924644,-89.786196
5.00,35.733136,-90.176210
5.00,35.920196,-90.192690
5.00,35.207478,-90.189943
5.00,35.106428,-90.269594
5.00,34.563121,-90.644181
