Radius(in miles),Latitude,Longitude
100.00,26.329496,-80.963813
100.00,28.498366,-81.829739
50.00,30.182421,-86.672093
50.00,29.988257,-85.018556
50.00,29.912157,-83.529903
25.00,30.050138,-82.420299
25.00,30.026338,-81.629259
10.00,30.864517,-87.435554
10.00,30.557531,-85.773439
10.00,30.496018,-84.238100
10.00,30.448645,-82.741204
10.00,30.432108,-82.389662
10.00,30.659178,-81.881527
10.00,30.372873,-81.914492
10.00,30.588273,-81.582155
10.00,30.850364,-85.106449
10.00,30.852721,-85.446596
10.00,30.845646,-85.781684
10.00,30.850371,-86.111269
10.00,30.855079,-87.100038
5.00,30.921076,-86.865206
5.00,30.916364,-86.352968
5.00,30.921077,-86.521669
5.00,30.923433,-86.693330
5.00,30.725310,-87.289338
5.00,30.687526,-85.962954
5.00,30.368136,-85.792665
5.00,30.699335,-85.609803
5.00,30.727671,-85.266480
5.00,30.657997,-85.484834
5.00,30.683983,-85.376344
5.00,30.585908,-85.569978
5.00,30.613096,-84.441132
5.00,30.626095,-84.607301
5.00,30.590637,-84.011292
5.00,30.326657,-84.250138
5.00,30.537425,-82.966218
5.00,30.546887,-83.131013
5.00,30.415519,-81.500917
5.00,30.416703,-81.672578
5.00,30.511400,-81.774201
