Radius(in miles),Latitude,Longitude
100.00,40.229986,-82.866964
25.00,41.582580,-81.511002
25.00,40.959160,-81.063480
10.00,41.724185,-80.954460
10.00,41.448903,-80.966921
10.00,41.867516,-80.695009
10.00,41.625709,-80.714235
10.00,41.366503,-80.708742
10.00,40.605576,-80.711918
10.00,40.342357,-80.788822
10.00,39.225847,-84.615529
10.00,39.173729,-84.296935
10.00,38.940188,-84.070559
10.00,38.826867,-83.727665
10.00,38.796908,-83.345461
10.00,38.700516,-82.672548
10.00,38.739088,-82.334719
10.00,39.497686,-84.633608
10.00,41.557922,-84.606571
10.00,41.553811,-84.211063
10.00,41.570252,-83.864994
10.00,41.273678,-84.612064
10.00,41.302571,-84.271488
10.00,40.992338,-84.606571
5.00,41.636999,-83.597932
5.00,41.668807,-83.423523
5.00,41.413896,-84.043093
5.00,41.139365,-84.424868
5.00,41.428317,-84.435853
5.00,40.790941,-84.694033
5.00,40.653555,-84.705019
5.00,39.686053,-84.719181
5.00,39.833850,-84.718752
5.00,39.355538,-84.430361
5.00,38.533124,-82.469301
5.00,39.633192,-81.046572
5.00,39.757892,-80.983400
5.00,39.901309,-80.936709
5.00,40.157885,-80.895510
5.00,40.027614,-80.906496
5.00,39.535821,-81.172915
5.00,40.528414,-80.944948
5.00,40.767022,-80.615144
5.00,41.181750,-80.613762
5.00,41.048288,-80.612397
5.00,40.913513,-80.606904
