Radius(in miles),Latitude,Longitude
50.00,40.448986,-79.556433
50.00,40.463666,-77.806892
50.00,40.430224,-76.027107
25.00,41.244772,-78.696785
25.00,41.253032,-76.851082
25.00,41.310824,-75.323982
25.00,41.409776,-76.071053
25.00,41.467428,-77.762947
25.00,41.467428,-79.641609
10.00,40.996484,-80.328255
10.00,41.145570,-80.069218
10.00,41.259227,-80.318727
10.00,41.547645,-80.321474
10.00,42.026854,-80.304995
10.00,42.185793,-79.980879
10.00,41.914541,-79.931459
10.00,41.759020,-80.170412
10.00,41.853204,-79.599130
5.00,41.853196,-80.420136
5.00,41.717005,-80.429749
10.00,41.679066,-79.032898
10.00,41.689321,-78.371400
10.00,41.847059,-79.266787
10.00,41.736479,-78.703737
10.00,41.855255,-78.091250
10.00,41.697526,-77.173891
10.00,41.697527,-76.608096
10.00,41.730330,-75.237551
10.00,41.730330,-75.594606
10.00,41.849105,-76.278505
10.00,41.851151,-75.926943
10.00,41.857288,-77.456789
10.00,41.855242,-76.880007
5.00,41.886943,-79.052553
5.00,41.872630,-78.883434
5.00,41.876719,-78.505769
5.00,41.890010,-78.350587
5.00,41.919651,-78.699403
5.00,41.888988,-77.780671
5.00,41.914541,-77.169557
5.00,41.911476,-76.573548
5.00,41.922716,-75.643830
5.00,41.910454,-75.424104
5.00,41.662653,-76.890993
10.00,39.871804,-80.332460
10.00,39.880235,-78.679018
10.00,39.876019,-76.932192
5.00,40.335028,-75.035664
5.00,40.239700,-74.932463
5.00,40.171529,-74.834961
5.00,40.122191,-74.998384
5.00,40.204050,-75.082154
5.00,40.060206,-75.120606
5.00,39.955017,-75.218110
5.00,39.809587,-76.672425
5.00,39.791651,-76.502135
5.00,40.082274,-76.923952
5.00,39.800096,-77.204104
5.00,39.789544,-77.377138
5.00,39.800096,-78.948183
5.00,39.806426,-78.409853
5.00,40.080173,-78.679018
5.00,40.067563,-80.414858
5.00,39.793765,-80.079775
5.00,40.842905,-78.687258
5.00,41.182788,-79.247561
5.00,41.201390,-78.140688
5.00,41.510634,-78.291750
5.00,41.174519,-77.377138
