Radius(in miles),Latitude,Longitude
50.00,46.198988,-91.246933
100.00,44.659231,-89.575530
25.00,45.636464,-92.231830
25.00,44.910633,-92.253798
50.00,43.221184,-87.795161
25.00,42.879990,-89.075089
25.00,42.875964,-89.836063
25.00,43.040791,-90.660038
25.00,44.925934,-87.123325
10.00,45.400379,-91.557999
10.00,45.269073,-91.879084
10.00,45.106488,-91.640139
10.00,44.494546,-91.810427
10.00,43.476840,-91.005678
5.00,44.321883,-91.632156
5.00,44.294367,-91.807680
5.00,44.207804,-91.552248
5.00,44.190082,-91.719790
5.00,44.113226,-91.557741
5.00,43.663898,-91.137514
5.00,43.809756,-91.160538
5.00,43.440955,-90.745912
5.00,43.232197,-90.156770
5.00,43.184151,-89.463258
5.00,43.262206,-88.860383
10.00,42.655171,-90.499358
10.00,42.644061,-88.574953
5.00,42.577355,-89.460511
5.00,42.567242,-88.820558
5.00,42.568253,-88.304200
5.00,42.580388,-90.233674
5.00,45.320289,-92.601442
5.00,45.207199,-92.660279
5.00,45.264255,-92.466645
5.00,44.888958,-91.667604
5.00,44.768187,-91.706057
5.00,44.649116,-91.711550
5.00,46.113247,-89.349498
5.00,46.149394,-89.555483
5.00,46.183634,-89.764223
10.00,46.181732,-90.066347
5.00,46.670645,-92.096437
5.00,46.579631,-92.181001
