Radius(in miles),Latitude,Longitude
50.00,34.412937,-81.830957
50.00,34.061761,-80.103035
25.00,33.688193,-79.004155
25.00,33.201924,-79.597664
25.00,32.759562,-80.190926
25.00,32.342841,-80.719729
25.00,32.824211,-80.992928
25.00,33.339707,-81.366463
25.00,33.243287,-80.492193
10.00,33.593626,-81.856405
10.00,34.057161,-80.999897
10.00,33.808820,-81.117983
10.00,33.584879,-80.914736
10.00,34.141362,-79.129458
10.00,34.678394,-80.829592
10.00,34.908458,-80.977907
10.00,35.012002,-81.244326
10.00,34.748383,-83.133974
10.00,34.906205,-82.867556
10.00,35.003003,-82.554445
10.00,34.610606,-82.834597
5.00,34.797452,-82.649201
5.00,35.104181,-82.320986
5.00,35.119909,-82.161684
5.00,35.095193,-81.472292
5.00,34.739356,-80.571413
