Radius(in miles),Latitude,Longitude
100.00,44.457723,-102.055133
100.00,44.488668,-98.484878
25.00,43.353565,-100.269855
25.00,43.193163,-97.070131
25.00,45.583290,-103.492928
25.00,45.583290,-100.361824
10.00,43.165545,-99.616169
10.00,43.149094,-100.909853
10.00,43.141078,-103.164797
10.00,43.271206,-103.521852
10.00,43.498760,-103.791017
10.00,43.229195,-103.854189
10.00,45.786679,-97.180424
5.00,43.741755,-100.253376
5.00,43.129052,-99.325075
5.00,43.086943,-99.143801
5.00,43.076913,-98.957033
5.00,42.998621,-98.404970
5.00,43.008664,-98.201723
5.00,43.046813,-98.009462
5.00,43.084937,-97.833681
5.00,43.135066,-97.657900
5.00,42.910172,-98.058901
5.00,42.956423,-97.863894
5.00,42.992595,-97.677126
5.00,42.930285,-97.517824
5.00,42.801447,-96.872377
5.00,42.847779,-96.699343
5.00,42.956423,-96.597719
5.00,42.579883,-96.579544
5.00,42.691521,-96.690095
5.00,43.110007,-96.538453
5.00,43.514697,-96.689515
5.00,43.583375,-96.841950
5.00,43.663898,-96.696382
5.00,43.788941,-96.637330
5.00,43.908777,-96.575532
5.00,43.628123,-96.553559
5.00,44.070814,-96.549439
5.00,45.013360,-96.545320
5.00,45.139430,-96.560426
5.00,45.259422,-96.649690
5.00,45.358900,-96.756806
5.00,45.476503,-96.863923
5.00,45.579445,-96.997132
5.00,45.692751,-96.907868
5.00,45.791467,-96.770539
5.00,45.866106,-96.674409
5.00,45.860368,-96.911988
5.00,45.848891,-97.473664
5.00,45.863238,-97.650819
5.00,45.863238,-97.828188
5.00,45.663966,-99.789248
5.00,45.754110,-99.635439
5.00,45.819229,-99.459658
5.00,45.859412,-99.281130
5.00,45.803914,-99.835939
5.00,45.870888,-99.995241
5.00,45.870888,-99.660158
5.00,45.725356,-100.929079
5.00,45.853673,-100.821962
5.00,45.805828,-101.110354
5.00,45.861325,-101.313601
5.00,45.824971,-102.978029
5.00,45.872800,-102.802248
5.00,45.861325,-103.944826
5.00,45.323186,-103.942080
5.00,45.189780,-103.942080
5.00,43.703623,-103.933840
5.00,43.870178,-103.950319
