Radius(in miles),Latitude,Longitude
50.00,37.754285,-83.591480
50.00,37.378888,-85.376473
25.00,36.844461,-88.806953
25.00,37.116530,-88.094732
25.00,37.570705,-87.688236
25.00,37.002553,-87.281742
25.00,37.540187,-86.842279
25.00,37.011376,-86.447654
25.00,36.954229,-84.321069
25.00,38.354580,-84.749393
10.00,38.129178,-85.718301
10.00,38.324420,-85.468569
10.00,38.573937,-85.270815
10.00,38.846131,-84.606144
10.00,38.432080,-84.194163
10.00,38.696229,-84.323244
10.00,38.638327,-83.971682
10.00,38.550311,-83.507509
10.00,38.475119,-83.147707
10.00,38.373962,-82.776918
10.00,37.498829,-82.311285
10.00,37.720763,-82.518740
10.00,37.448697,-82.620363
10.00,36.949892,-83.744144
10.00,36.958671,-83.403568
10.00,37.042024,-83.073978
10.00,37.221581,-82.821293
10.00,36.747688,-84.793339
10.00,36.774093,-85.996342
10.00,36.641977,-88.239870
10.00,36.771892,-87.775698
10.00,37.948508,-86.347475
5.00,37.916002,-86.102981
5.00,37.796763,-86.201906
5.00,37.703372,-86.317263
5.00,37.431250,-86.352754
5.00,37.576147,-86.325288
5.00,38.158317,-85.246096
5.00,38.138877,-85.441103
5.00,38.317956,-85.248842
5.00,37.942031,-84.707766
5.00,38.004820,-84.512758
5.00,37.857507,-84.564943
5.00,38.571790,-83.746247
5.00,38.460041,-83.920655
5.00,38.661922,-82.974672
5.00,38.537424,-82.892275
5.00,38.162636,-82.724733
5.00,38.028622,-82.642336
5.00,37.907367,-82.601137
5.00,37.328673,-82.414370
5.00,37.274053,-82.568178
5.00,36.745487,-83.845339
5.00,36.657403,-83.957949
5.00,36.659606,-83.743715
5.00,36.771892,-83.672304
5.00,36.820279,-83.548708
5.00,36.708064,-83.578920
5.00,36.743286,-83.430605
5.00,36.793890,-83.286409
5.00,36.862044,-83.173585
5.00,36.721274,-86.869326
5.00,36.712467,-87.572451
5.00,36.699255,-85.770693
5.00,36.692649,-85.042849
5.00,37.362517,-84.415040
5.00,37.782655,-86.451631
