Radius(in miles),Latitude,Longitude
50.00,46.483265,-68.865738
50.00,45.057129,-68.294449
50.00,43.868900,-69.918827
25.00,44.980756,-70.535897
25.00,45.629405,-69.885750
25.00,44.941473,-69.687996
10.00,45.663966,-69.186830
10.00,45.487095,-70.489140
10.00,44.504341,-70.785770
10.00,44.559151,-69.231195
10.00,44.355260,-68.967526
10.00,44.221584,-68.308353
10.00,44.750634,-67.160282
10.00,45.890008,-68.007088
10.00,46.149394,-70.033207
5.00,43.159112,-70.719337
5.00,43.299197,-70.693116
5.00,43.405048,-70.823579
5.00,43.542576,-70.845766
5.00,44.298299,-70.862246
5.00,44.554271,-70.481629
5.00,44.654001,-70.136933
5.00,44.686230,-70.930910
5.00,45.342494,-70.296450
5.00,45.247821,-70.087709
5.00,45.325116,-69.516421
5.00,45.276819,-69.343386
5.00,45.394593,-69.340639
5.00,45.504419,-69.342957
5.00,45.460131,-69.200563
5.00,46.048931,-69.781830
5.00,45.996008,-70.187745
5.00,46.360198,-69.983125
5.00,45.821143,-68.284364
5.00,46.093236,-67.883575
5.00,47.068251,-68.170595
5.00,47.284792,-68.288664
5.00,47.212107,-68.519412
5.00,47.157972,-68.307924
5.00,47.187846,-68.115663
5.00,47.088826,-67.964602
5.00,46.980252,-68.022280
5.00,46.998988,-67.884951
5.00,46.878967,-67.890444
5.00,47.372315,-69.181337
5.00,47.269911,-69.304934
5.00,47.228896,-69.131898
5.00,47.152366,-69.401062
5.00,45.089016,-67.225771
5.00,44.962849,-67.151610
