Radius(in miles),Latitude,Longitude
100.00,38.534700,-112.192364
50.00,40.207683,-110.061016
50.00,40.747257,-111.886482
50.00,37.718590,-109.963875
50.00,38.993572,-109.996834
25.00,39.985538,-113.567390
25.00,40.638967,-113.545418
25.00,41.327326,-113.545418
25.00,41.631867,-112.710457
25.00,41.640078,-111.534920
25.00,37.387617,-113.589363
10.00,39.594539,-110.786114
10.00,39.785323,-111.011782
10.00,39.956070,-111.308413
10.00,40.151588,-111.127138
10.00,39.993956,-112.920656
10.00,40.075970,-112.558107
10.00,40.256473,-112.810793
10.00,40.501269,-112.950869
10.00,40.803415,-112.975588
10.00,41.104191,-112.970095
10.00,41.861379,-112.094364
10.00,41.570252,-112.132816
10.00,41.783601,-113.286381
10.00,41.812267,-113.670902
10.00,40.780541,-109.210453
10.00,40.855370,-110.775147
10.00,39.618384,-109.237919
10.00,38.363195,-109.259891
10.00,37.155939,-110.754032
10.00,37.147182,-111.116581
10.00,37.151561,-113.050175
10.00,37.361426,-110.928955
10.00,37.788081,-113.863163
10.00,37.151561,-109.237919
5.00,39.978660,-111.607342
5.00,39.991852,-111.783571
5.00,40.038129,-112.280703
5.00,39.831741,-109.138613
5.00,39.398000,-109.141359
5.00,39.664914,-113.962040
5.00,39.595107,-113.794498
5.00,39.557001,-113.626528
5.00,39.510398,-113.953371
5.00,39.463764,-113.766604
5.00,39.370402,-113.961611
5.00,39.219487,-113.958864
5.00,39.063982,-113.961611
5.00,40.172578,-113.060732
5.00,40.315137,-113.140383
5.00,40.323514,-113.945131
5.00,40.909361,-113.945131
5.00,41.052431,-113.956118
5.00,40.975751,-113.200808
5.00,41.203456,-112.714663
5.00,41.627761,-113.934145
5.00,41.775408,-113.947878
5.00,41.910454,-113.942385
5.00,41.926803,-113.090944
5.00,41.922716,-113.469973
5.00,41.926803,-112.346621
5.00,41.926803,-111.871462
5.00,41.926803,-111.140871
5.00,41.314950,-111.143618
5.00,40.892753,-109.465456
5.00,40.919739,-110.506411
5.00,40.921814,-109.663210
5.00,40.563895,-109.149599
5.00,39.960280,-109.133120
5.00,38.567495,-109.146852
5.00,38.160476,-109.138613
5.00,37.061753,-111.695681
5.00,37.083667,-111.508913
5.00,37.171260,-111.357851
5.00,37.061753,-111.330385
5.00,37.044217,-111.843996
5.00,37.081476,-112.780580
5.00,37.066136,-112.613039
5.00,37.072710,-112.412538
5.00,37.066136,-112.220278
5.00,37.061753,-110.509157
5.00,37.063944,-109.462709
5.00,37.328673,-109.130373
5.00,40.019201,-112.096467
5.00,40.923890,-109.847231
