Radius(in miles),Latitude,Longitude
100.00,47.146065,-94.508867
50.00,45.070698,-95.317759
50.00,44.242103,-93.593611
25.00,44.061285,-95.921683
25.00,44.001970,-94.993183
25.00,43.867646,-92.164411
25.00,45.318444,-93.252329
25.00,47.901614,-92.197266
25.00,47.724545,-90.267105
25.00,47.694974,-91.102066
25.00,47.204642,-91.893082
25.00,48.632909,-95.232925
25.00,48.640169,-96.268387
25.00,48.034019,-96.512833
25.00,45.840281,-96.062393
10.00,43.644182,-94.373474
10.00,43.661006,-92.834849
10.00,43.770102,-91.471653
25.00,45.311720,-94.058674
10.00,46.252049,-92.549686
10.00,46.016039,-92.846317
10.00,45.828799,-93.186893
10.00,46.760562,-92.387209
10.00,46.509735,-92.505741
10.00,48.476563,-93.244142
10.00,48.299640,-92.818422
10.00,43.648001,-95.505009
10.00,43.653963,-96.232424
10.00,43.646013,-95.869875
10.00,43.646013,-95.122805
10.00,43.644026,-94.741030
10.00,44.346440,-92.393131
5.00,45.339684,-96.364207
5.00,45.441826,-96.493134
5.00,45.486132,-96.623597
5.00,45.611156,-96.733460
5.00,45.691792,-96.597505
5.00,45.576561,-96.543946
5.00,45.460131,-96.303620
5.00,45.525593,-96.407883
5.00,45.209134,-96.339540
5.00,45.085157,-96.345034
5.00,44.947305,-96.347780
5.00,44.809122,-96.342287
10.00,44.500423,-96.235600
5.00,44.684277,-96.296024
5.00,44.398467,-94.697514
5.00,44.284537,-95.428104
10.00,45.744527,-93.528328
10.00,46.282902,-96.388206
10.00,46.532414,-96.525879
10.00,46.822617,-96.581669
5.00,47.008353,-96.706123
5.00,47.154237,-96.724062
5.00,47.294134,-96.724062
5.00,47.431803,-96.729555
5.00,47.559847,-96.744825
5.00,47.659838,-96.787233
10.00,48.843028,-96.956062
10.00,48.465637,-96.902504
5.00,48.279537,-97.004213
5.00,48.649242,-96.943788
5.00,48.926109,-96.702089
5.00,48.933326,-95.617189
5.00,48.929718,-95.845156
5.00,48.403679,-95.763187
5.00,48.283193,-95.927982
5.00,43.584370,-91.709232
5.00,43.584370,-91.335697
5.00,43.574422,-91.519289
