Radius(in miles),Latitude,Longitude
25.00,38.591114,-76.180916
25.00,39.325799,-76.235848
25.00,39.385264,-77.158699
10.00,39.580290,-77.660036
10.00,39.567588,-79.282837
5.00,39.655399,-78.769655
5.00,39.650112,-78.947969
5.00,39.531585,-79.004273
5.00,39.364032,-79.376435
5.00,39.647997,-78.585420
5.00,39.657513,-78.416505
5.00,39.671256,-78.262696
5.00,39.654342,-77.872682
5.00,39.675484,-78.074555
5.00,39.385264,-77.668276
5.00,39.650112,-75.882998
10.00,39.008513,-76.717958
10.00,38.490144,-77.116213
10.00,38.717662,-76.833315
10.00,38.376115,-76.789370
10.00,38.244652,-76.511965
10.00,38.296404,-75.267763
10.00,38.305025,-75.641298
10.00,38.128075,-75.918703
5.00,38.095660,-76.344209
5.00,38.091337,-75.641770
5.00,38.139957,-75.463929
5.00,38.097821,-75.271668
5.00,38.378269,-75.447342
5.00,38.295326,-75.866883
2.00,38.026459,-75.746827
2.00,37.968019,-75.857034
2.00,37.976680,-76.031098
2.00,37.984257,-75.794388
2.00,37.979928,-75.708214
2.00,37.998868,-75.651963
2.00,38.047010,-75.531800
2.00,38.042684,-75.456955
2.00,38.047550,-75.381424
5.00,39.025052,-76.946976
2.00,39.011715,-77.074982
2.00,38.980496,-77.115837
2.00,39.003177,-77.208191
2.00,39.000509,-77.148796
2.00,38.935912,-76.913620
2.00,38.888628,-76.870362
5.00,38.830615,-76.619446
5.00,38.946593,-76.476045
5.00,39.049052,-75.837464
5.00,38.900652,-75.818238
5.00,38.969019,-75.977540
5.00,39.646940,-76.785035
5.00,39.643768,-76.595521
5.00,39.537940,-76.675172
2.00,39.693173,-76.002102
2.00,39.691601,-76.072823
2.00,39.693979,-76.148354
2.00,39.682883,-76.464264
2.00,39.689752,-76.392167
2.00,39.693451,-76.319382
2.00,39.531585,-75.813324
2.00,39.568382,-75.844513
2.00,39.479401,-75.811184
2.00,39.143375,-75.785859
2.00,38.809216,-75.763199
