Radius(in miles),Latitude,Longitude
100.00,38.480658,-100.132196
100.00,38.526320,-96.612280
25.00,39.632320,-98.396356
25.00,37.378888,-98.329353
25.00,37.361426,-95.066414
25.00,39.631077,-101.592293
25.00,37.413800,-101.570320
10.00,39.165393,-98.374383
10.00,37.835819,-98.377933
10.00,37.309014,-98.874636
10.00,37.147182,-99.121828
10.00,37.147182,-98.786745
10.00,37.142803,-101.074648
10.00,37.824972,-101.862917
10.00,39.210975,-101.857424
10.00,39.859155,-101.077394
10.00,39.789544,-99.000979
10.00,39.808536,-97.789736
10.00,39.852829,-95.749025
10.00,39.850721,-95.394716
10.00,39.641653,-95.284853
5.00,38.882669,-94.790094
5.00,39.007446,-94.817719
5.00,38.940185,-94.694123
5.00,38.794768,-94.700990
5.00,38.656561,-94.703736
5.00,38.521310,-94.700990
5.00,38.370732,-94.709230
5.00,39.079441,-94.700196
5.00,39.135919,-94.847825
5.00,39.231721,-94.952881
5.00,39.352352,-95.025666
5.00,39.458993,-95.143769
5.00,39.733594,-95.069032
5.00,39.807481,-95.156922
5.00,39.802206,-94.998994
5.00,39.714582,-95.537324
5.00,38.225235,-94.713564
5.00,38.097821,-94.763002
5.00,37.959358,-94.823427
5.00,37.829311,-94.900331
5.00,37.851001,-94.710817
5.00,37.068328,-94.710817
5.00,37.241262,-95.586977
5.00,37.123096,-95.515566
5.00,37.171260,-95.715852
5.00,37.113241,-95.873780
5.00,37.069423,-95.691132
5.00,37.070519,-95.415101
5.00,37.072710,-96.038575
5.00,37.077093,-96.204743
5.00,37.068328,-97.063050
5.00,37.075997,-97.248445
5.00,37.329765,-97.810121
5.00,37.256566,-97.667298
5.00,37.209550,-97.840333
5.00,37.186579,-97.529969
5.00,37.119811,-97.394013
5.00,37.127476,-97.687898
5.00,37.069423,-97.534089
5.00,37.112146,-97.921357
5.00,37.069423,-98.049073
5.00,37.071615,-97.797761
5.00,37.091335,-99.382539
5.00,37.075997,-100.812135
5.00,37.080380,-101.913514
5.00,37.656645,-101.947846
5.00,38.032949,-101.953340
5.00,39.006379,-101.931367
5.00,39.926588,-101.960206
5.00,39.922376,-100.799775
5.00,39.930801,-100.603394
5.00,39.930801,-99.544587
5.00,39.880235,-99.366059
5.00,39.928695,-99.199891
5.00,39.928695,-98.794770
5.00,39.928695,-98.010621
5.00,39.928695,-97.540955
5.00,39.927642,-97.350068
5.00,39.818030,-97.521730
5.00,39.926588,-97.178407
5.00,39.926588,-97.023225
5.00,39.922376,-96.001496
5.00,39.927642,-96.199250
5.00,39.927642,-96.832337
5.00,39.929748,-96.664796
5.00,39.924482,-96.397004
5.00,39.615210,-98.911500
5.00,39.794820,-99.245210
5.00,39.930801,-100.418215
5.00,39.930801,-100.242219
5.00,39.929748,-100.041719
5.00,39.931854,-99.735475
5.00,39.937119,-101.291413
5.00,39.371464,-101.951966
5.00,37.665342,-94.699616
5.00,37.737055,-94.809480
5.00,37.744657,-94.977021
5.00,37.068328,-96.886110
5.00,37.068328,-96.704836
5.00,37.068328,-96.386232
