Radius(in miles),Latitude,Longitude
100.00,47.313434,-121.597072
50.00,46.721717,-118.586818
50.00,48.114767,-118.577156
25.00,47.942774,-124.014064
25.00,47.234490,-124.146366
25.00,46.604167,-123.981571
25.00,48.614754,-119.922123
10.00,47.417611,-119.278957
10.00,47.420654,-117.786140
10.00,47.635784,-117.511482
10.00,47.908978,-117.357674
10.00,48.195387,-117.302742
10.00,48.472921,-117.362308
10.00,48.687334,-117.619629
10.00,48.850258,-117.944584
10.00,48.741701,-117.241459
10.00,47.387193,-117.274418
10.00,47.197178,-117.587528
10.00,47.100045,-117.252445
10.00,46.815099,-117.263431
10.00,46.558860,-117.252445
10.00,46.324172,-117.472172
10.00,46.164614,-117.197514
10.00,46.290020,-119.806766
10.00,46.134170,-119.493656
10.00,46.096091,-120.092411
10.00,45.974060,-119.773808
10.00,45.855586,-120.317631
10.00,45.786679,-121.064701
10.00,45.847934,-120.680180
10.00,45.767523,-122.009525
10.00,45.847934,-122.403660
10.00,46.300457,-123.267460
10.00,48.777913,-120.647221
10.00,48.843028,-122.784061
10.00,48.850258,-122.339115
10.00,48.589326,-122.976322
10.00,48.846643,-121.883183
10.00,48.843028,-121.426392
10.00,48.839413,-121.031742
10.00,48.846643,-119.246464
10.00,48.864715,-118.828983
10.00,48.861101,-118.400516
5.00,48.190558,-119.778835
5.00,48.918890,-120.372562
5.00,48.929718,-119.539919
5.00,48.908059,-117.609501
5.00,48.918890,-117.389345
5.00,47.722697,-117.216311
5.00,47.595051,-117.199831
5.00,48.356249,-124.673710
5.00,48.257599,-124.486942
5.00,48.213693,-124.701176
5.00,48.067068,-124.646244
5.00,47.897931,-124.668217
5.00,46.318481,-123.551087
5.00,46.459620,-123.426118
5.00,46.166517,-122.908387
5.00,46.057031,-122.765565
5.00,45.926319,-122.688661
5.00,45.676921,-122.625382
5.00,45.810615,-122.681687
5.00,45.648608,-122.446854
5.00,45.620281,-122.263520
5.00,45.787637,-121.686051
5.00,45.790509,-121.454072
