Radius(in miles),Latitude,Longitude
50.00,34.261482,-84.569631
50.00,32.842674,-84.246597
50.00,31.393490,-84.235630
50.00,32.796510,-82.531014
50.00,31.316101,-82.552986
50.00,31.386468,-81.300545
25.00,32.091883,-83.420906
25.00,33.696913,-83.574704
25.00,34.270836,-83.398933
25.00,33.642093,-82.778226
10.00,34.843109,-84.014165
10.00,34.845367,-83.664064
10.00,34.831841,-85.386171
10.00,33.573403,-85.153142
10.00,33.293800,-85.092286
10.00,33.472690,-84.867067
10.00,32.115137,-84.798829
10.00,31.863598,-84.947140
10.00,31.015248,-83.400369
10.00,30.796115,-83.617373
10.00,30.777239,-83.287783
10.00,32.045333,-81.991825
10.00,32.222096,-81.310673
10.00,32.180262,-81.667728
10.00,32.426340,-81.491947
10.00,32.699499,-81.574341
10.00,33.243282,-83.381596
5.00,33.916013,-83.159981
5.00,34.000304,-83.018618
5.00,34.141344,-82.966428
5.00,34.048108,-82.856569
5.00,34.032178,-82.702764
5.00,34.132268,-82.804384
5.00,34.241324,-82.862062
5.00,34.377446,-82.930727
5.00,34.592520,-83.729982
5.00,34.691945,-83.441591
5.00,34.662582,-83.598146
5.00,34.698719,-83.809633
5.00,34.917463,-83.427854
5.00,34.930979,-83.249330
5.00,34.807038,-83.411379
5.00,34.908458,-85.130739
5.00,34.619647,-85.435610
5.00,33.750606,-85.271244
5.00,33.605470,-84.067597
5.00,33.420554,-82.021972
5.00,33.511629,-82.124970
5.00,33.570006,-82.280946
5.00,33.023633,-81.654940
5.00,32.891120,-81.588808
5.00,32.513236,-81.700044
5.00,32.375322,-81.746736
5.00,32.254620,-81.875825
5.00,32.052317,-82.253480
5.00,32.061628,-82.896180
5.00,32.127942,-83.922028
5.00,32.110496,-84.545503
5.00,32.532921,-83.394899
5.00,31.653381,-83.383913
5.00,33.394759,-83.202639
5.00,30.595354,-82.120487
5.00,30.451041,-82.112246
