Radius(in miles),Latitude,Longitude
100.00,42.026335,-93.609106
25.00,41.955929,-90.656755
25.00,42.496403,-91.309090
25.00,43.165123,-91.607437
25.00,43.125043,-95.925064
25.00,42.642041,-96.067886
25.00,40.950863,-95.342789
25.00,41.004775,-91.464615
25.00,41.623655,-91.429939
10.00,42.062052,-91.469744
10.00,41.079351,-92.022343
10.00,40.768062,-92.412357
10.00,40.780541,-92.033329
10.00,40.726446,-94.741459
10.00,41.364441,-95.697269
10.00,41.623655,-95.851078
10.00,41.906365,-95.938969
10.00,42.179688,-96.087284
10.00,43.353144,-94.615974
10.00,43.353144,-95.397463
10.00,43.351147,-95.004702
10.00,43.100983,-95.196962
10.00,42.849792,-95.413942
10.00,43.361132,-96.323490
10.00,43.353144,-92.176151
10.00,43.357138,-92.555180
5.00,41.595946,-90.506380
5.00,41.578984,-90.622895
5.00,41.527600,-90.712845
5.00,41.519375,-90.896866
5.00,41.642644,-90.436760
5.00,42.035014,-91.200686
5.00,42.366662,-90.755739
5.00,42.513108,-90.746437
10.00,42.224450,-95.713749
10.00,41.979911,-95.664310
10.00,41.709829,-95.576420
5.00,42.642041,-95.481148
5.00,42.405207,-95.584230
5.00,42.524748,-95.529299
5.00,41.202423,-95.802369
5.00,40.647304,-94.477358
5.00,40.668110,-92.686567
5.00,40.934265,-92.219667
5.00,40.684283,-91.784012
