Radius(in miles),Latitude,Longitude
25.00,43.085063,-71.972382
25.00,43.778875,-71.632599
10.00,44.205818,-71.872558
10.00,44.331710,-71.551635
10.00,44.565034,-71.353884
10.00,44.805224,-71.340580
10.00,45.069641,-71.274662
10.00,44.339565,-71.225223
10.00,44.107305,-71.203249
10.00,43.526646,-72.188845
10.00,42.845765,-71.375856
10.00,42.976521,-71.087465
10.00,43.131057,-71.364870
10.00,43.357138,-71.461430
10.00,43.440955,-71.142826
10.00,43.185153,-71.038456
5.00,43.910755,-71.096133
5.00,43.779027,-71.087251
5.00,43.641044,-71.072144
5.00,43.283204,-71.241274
5.00,43.385090,-72.315187
5.00,43.469864,-71.946931
5.00,42.902115,-72.443841
5.00,42.796402,-72.349306
5.00,42.778267,-71.639314
5.00,43.044792,-70.811210
5.00,42.936318,-70.822204
5.00,42.990586,-71.470925
5.00,44.162504,-71.443512
5.00,44.162997,-71.625473
5.00,44.511197,-71.114717
5.00,44.654003,-71.135315
