Radius(in miles),Latitude,Longitude
100.00,40.561106,-118.133256
100.00,38.099983,-115.931168
50.00,40.218027,-115.309770
50.00,38.736946,-118.280525
25.00,36.115690,-115.203323
25.00,36.507429,-114.496765
25.00,36.447799,-115.834780
25.00,41.652393,-116.370621
25.00,41.644183,-115.431290
25.00,41.652393,-114.527836
25.00,41.008921,-114.527836
25.00,41.066928,-115.961552
5.00,39.496970,-116.705033
5.00,39.614152,-116.560306
5.00,39.740986,-116.439457
5.00,39.876019,-116.357060
5.00,39.588757,-116.357060
5.00,39.715638,-116.247196
5.00,39.609920,-116.109867
5.00,39.457403,-115.049686
25.00,39.390918,-114.513261
25.00,39.169813,-119.523027
5.00,38.758367,-119.317875
5.00,39.542176,-119.820499
5.00,39.585582,-119.649568
5.00,39.684997,-119.796510
5.00,39.820140,-119.892640
5.00,36.641978,-115.357304
5.00,36.708064,-115.181522
5.00,36.774093,-114.994755
5.00,36.551569,-115.210362
5.00,36.630958,-115.024323
5.00,36.497493,-115.036683
5.00,36.847758,-114.841676
5.00,36.933428,-114.683747
5.00,37.046409,-114.542298
5.00,37.152655,-114.424195
5.00,37.275146,-114.322572
5.00,37.414891,-114.223695
5.00,37.559820,-114.144044
5.00,37.258752,-114.146790
5.00,37.125286,-114.237428
5.00,37.015712,-114.356904
5.00,36.914764,-114.501100
5.00,36.991585,-114.170136
5.00,36.880719,-114.300599
5.00,36.819180,-114.141297
5.00,36.615528,-116.329165
5.00,36.657403,-116.504946
5.00,36.710265,-116.672487
5.00,36.529502,-116.444521
5.00,39.132191,-117.381105
5.00,39.217359,-117.235537
5.00,39.300299,-117.089968
5.00,39.385264,-116.922426
5.00,38.615797,-119.274659
5.00,38.744444,-119.488893
5.00,39.417099,-119.911866
5.00,41.209655,-115.411806
5.00,41.242707,-115.225038
5.00,41.319076,-115.060244
5.00,41.329389,-114.889955
5.00,41.066928,-115.382967
5.00,41.097982,-115.208559
5.00,41.172452,-115.043764
5.00,40.988192,-115.093203
5.00,40.963308,-115.455537
5.00,41.333514,-114.140139
5.00,40.707710,-114.142885
5.00,40.616037,-114.288454
5.00,40.467846,-114.307680
5.00,40.534677,-114.134646
5.00,40.327702,-114.269228
5.00,40.382121,-114.131899
5.00,40.189365,-114.296694
5.00,40.243895,-114.137392
5.00,40.048643,-114.296694
5.00,40.107487,-114.148378
5.00,39.918163,-114.357119
5.00,39.956070,-114.153871
5.00,39.781102,-114.307680
5.00,39.814865,-114.140139
5.00,39.673370,-114.148378
5.00,36.013561,-115.730410
5.00,35.877924,-114.799318
5.00,35.766572,-114.898195
5.00,35.668454,-114.788332
5.00,35.632744,-114.964113
5.00,35.688533,-115.120668
5.00,35.491984,-114.925661
5.00,35.525520,-114.785585
5.00,35.422630,-114.716921
5.00,35.285985,-114.667482
5.00,35.241133,-114.832277
5.00,35.357696,-114.873476
5.00,35.480802,-115.093203
5.00,35.576917,-115.219545
5.00,35.681841,-115.348635
5.00,35.764344,-115.472231
5.00,35.889050,-115.617800
5.00,39.100226,-114.126406
5.00,39.014916,-114.271545
5.00,38.961545,-114.142885
5.00,38.831150,-114.134646
5.00,38.696229,-114.134646
5.00,38.884619,-114.285708
5.00,41.283999,-119.902468
5.00,41.401536,-119.820070
5.00,41.520917,-119.907961
5.00,41.510634,-119.712954
5.00,41.664705,-119.913454
5.00,41.652393,-119.734926
5.00,41.603121,-119.556398
5.00,41.722131,-119.435549
5.00,41.730330,-119.599915
5.00,41.775408,-119.792604
5.00,41.883876,-119.916201
5.00,41.906365,-119.726686
5.00,41.924760,-119.531679
5.00,41.857288,-119.364138
5.00,41.928847,-119.196596
5.00,41.793840,-119.204836
5.00,41.912497,-119.007082
5.00,41.742627,-116.903200
5.00,41.845013,-117.092714
5.00,41.890010,-116.889467
5.00,41.918629,-117.263002
5.00,41.918629,-115.903444
5.00,41.920673,-114.988833
5.00,41.926803,-114.123659
5.00,40.666056,-116.150637
5.00,39.812756,-114.477968
