Radius(in miles),Latitude,Longitude
100.00,40.267470,-89.435178
50.00,38.272689,-88.936043
25.00,42.134716,-87.628774
25.00,42.114524,-89.627323
25.00,42.102298,-88.677006
25.00,41.566142,-88.028812
25.00,38.856907,-88.002261
10.00,38.730479,-89.960515
10.00,38.466493,-90.074587
10.00,38.192863,-90.063601
10.00,37.234702,-89.259281
10.00,37.282795,-88.666019
10.00,37.439974,-89.001102
10.00,37.518440,-89.303226
10.00,37.522797,-88.644047
10.00,37.618583,-88.303471
10.00,38.436380,-87.949162
10.00,39.274790,-87.811832
10.00,39.510398,-87.723940
10.00,41.143494,-87.726689
10.00,42.349410,-90.218568
10.00,41.750823,-89.992189
10.00,41.799980,-89.181945
10.00,41.664705,-88.671083
10.00,42.352457,-89.154909
10.00,42.349413,-88.161380
5.00,41.652393,-90.228653
5.00,41.242731,-90.991956
5.00,41.358257,-90.964479
5.00,41.370625,-90.794191
5.00,41.447361,-90.540495
5.00,41.726230,-89.707596
5.00,41.738529,-89.467378
5.00,42.441701,-89.959230
5.00,42.440688,-90.456362
5.00,42.429544,-89.379704
5.00,42.423457,-88.904543
5.00,42.421429,-88.404665
5.00,42.418390,-87.940859
5.00,41.985014,-88.144899
5.00,42.131841,-88.147646
5.00,41.725206,-88.940034
5.00,40.938414,-87.636781
5.00,41.314950,-87.627382
5.00,39.714582,-87.631288
5.00,38.950865,-88.501225
5.00,38.771216,-89.698305
5.00,38.548165,-89.841127
5.00,38.320111,-90.269594
5.00,38.039439,-89.871340
5.00,38.341656,-89.893312
5.00,37.785911,-88.146486
5.00,37.289350,-88.975740
