Radius(in miles),Latitude,Longitude
25.00,44.683570,-72.030085
25.00,44.668501,-72.908600
25.00,43.961191,-72.908707
10.00,43.464687,-73.045829
10.00,43.496768,-72.631473
10.00,43.189158,-73.054447
10.00,43.185153,-72.658939
10.00,42.904136,-73.065433
10.00,42.896089,-72.730351
10.00,44.327778,-72.521610
10.00,44.205830,-72.285397
5.00,44.037257,-72.363038
5.00,44.047129,-72.170777
5.00,43.911745,-72.312226
5.00,43.783984,-72.357545
5.00,43.670846,-72.464664
5.00,43.691708,-73.299622
5.00,43.610228,-73.192506
5.00,43.335167,-72.817812
5.00,43.327176,-72.490969
5.00,43.058855,-72.867250
5.00,43.024730,-72.545900
5.00,43.323181,-73.158389
5.00,43.044805,-73.166628
5.00,43.572432,-72.848679
5.00,44.311075,-73.200638
5.00,44.938071,-72.467988
