Radius(in miles),Latitude,Longitude
100.00,69.037142,-163.578186
100.00,70.612614,-156.824341
100.00,69.839622,-148.738403
100.00,65.348514,-165.349731
100.00,63.164276,-170.005875
100.00,62.603453,-163.326187
100.00,60.174306,-165.197296
100.00,66.791910,-159.183655
100.00,67.067433,-151.537170
100.00,67.742759,-144.857483
100.00,63.975961,-157.689514
100.00,64.206377,-150.921936
100.00,64.923542,-144.418030
100.00,61.037012,-158.172913
100.00,62.226996,-146.087952
100.00,61.270233,-151.976623
100.00,58.539595,-152.475128
50.00,59.545457,-149.596710
50.00,60.522157,-147.901382
50.00,63.154355,-142.693863
50.00,60.941106,-142.386246
50.00,60.239811,-145.022965
50.00,58.436233,-135.794449
50.00,57.183902,-134.388199
50.00,56.016808,-132.771492
50.00,65.531171,-154.870148
50.00,66.018018,-147.879410
50.00,62.900223,-154.227791
25.00,60.860963,-161.841316
25.00,60.168842,-161.533699
25.00,59.523176,-161.841316
100.00,58.135921,-158.096695
100.00,55.528630,-160.096207
100.00,54.290882,-164.710465
100.00,52.961875,-169.020538
100.00,52.160455,-173.766632
100.00,51.944265,-178.556671
100.00,52.882391,172.873993
100.00,57.016814,-170.075226
25.00,59.629724,-160.452597
25.00,58.825118,-161.401863
25.00,59.960510,-154.557381
25.00,59.450660,-155.568123
25.00,56.956957,-154.207535
25.00,55.819802,-130.760994
25.00,55.229023,-131.508064
25.00,55.002826,-132.793465
10.00,56.860986,-132.979374
25.00,59.397569,-135.665531
25.00,59.495303,-139.637947
