Radius(in miles),Latitude,Longitude
100.00,33.511752,-101.275104
100.00,32.491230,-98.375015
100.00,32.379962,-95.804215
100.00,29.802518,-97.342300
100.00,31.034108,-100.702400
50.00,27.807629,-97.836383
50.00,26.657278,-97.384529
50.00,26.980829,-98.505135
50.00,29.104177,-99.680672
50.00,29.812051,-94.846687
50.00,31.034108,-94.385261
50.00,29.869229,-103.448982
50.00,31.090574,-104.305916
50.00,31.212802,-102.888679
25.00,30.214109,-102.401203
25.00,32.119801,-102.339363
25.00,31.391157,-105.448494
25.00,28.478349,-98.724861
25.00,27.887639,-99.032478
25.00,28.159190,-99.581795
25.00,29.152161,-95.582771
25.00,28.159190,-96.890144
25.00,28.680950,-95.978279
25.00,30.647364,-95.582771
10.00,30.951829,-98.852619
10.00,30.939924,-98.542728
10.00,30.699335,-98.971195
10.00,30.770159,-98.707523
10.00,30.439202,-98.987675
10.00,30.192618,-99.141483
10.00,29.926374,-99.125004
10.00,29.964453,-99.416141
5.00,29.704754,-99.085908
10.00,32.079209,-102.891468
10.00,32.366043,-102.888679
10.00,32.671749,-102.904301
10.00,32.505129,-102.646122
10.00,31.770208,-103.667851
10.00,31.709476,-104.964237
10.00,31.541974,-106.016487
10.00,31.777213,-105.830140
10.00,31.855398,-105.530763
10.00,31.856564,-105.210786
10.00,31.855398,-104.697175
10.00,31.856564,-103.956971
5.00,31.919655,-104.963764
5.00,31.823315,-106.462541
5.00,31.802893,-106.357377
5.00,31.698381,-106.259163
5.00,31.596668,-106.199448
5.00,31.726999,-106.123231
5.00,31.835566,-106.206315
5.00,31.858897,-106.046326
5.00,31.896214,-106.544831
5.00,31.927107,-106.429474
5.00,31.928855,-106.283906
5.00,31.931769,-106.130097
5.00,31.931767,-105.949506
5.00,31.928855,-105.733216
5.00,31.604270,-105.825226
5.00,31.538749,-105.019791
5.00,31.683770,-105.156434
5.00,31.378262,-105.891938
5.00,31.059993,-105.202546
5.00,30.995269,-105.408540
5.00,30.934035,-105.194306
5.00,30.881012,-105.305543
5.00,30.831498,-105.132508
5.00,31.932351,-104.473972
5.00,31.941675,-104.325013
5.00,31.934682,-104.180818
5.00,31.842566,-104.261842
5.00,31.835566,-104.392304
5.00,31.940509,-103.724885
5.00,31.934682,-103.544984
5.00,31.854231,-103.424134
5.00,31.931186,-103.311524
5.00,31.925358,-103.143983
10.00,30.675715,-103.538332
10.00,30.424993,-102.810488
10.00,30.607186,-102.361207
10.00,30.403675,-104.645205
10.00,30.247205,-104.340334
10.00,30.035811,-104.532595
10.00,29.781066,-104.392519
10.00,29.957314,-101.950808
10.00,29.470688,-100.918093
10.00,29.470688,-100.569277
10.00,29.219302,-100.635195
10.00,28.743580,-100.338564
10.00,28.350317,-100.146303
10.00,27.751608,-99.558535
10.00,27.554547,-99.358034
10.00,27.303452,-99.341555
10.00,26.221983,-98.198977
10.00,28.507316,-98.234682
10.00,28.924035,-98.775759
10.00,28.386568,-99.182253
10.00,31.348946,-97.152958
10.00,30.862153,-96.037417
10.00,30.187870,-95.644655
10.00,30.569356,-95.117311
10.00,30.278044,-94.073610
10.00,30.401307,-93.895083
10.00,30.104742,-93.875856
10.00,29.881137,-94.043398
10.00,31.763202,-93.982973
10.00,31.905542,-94.161501
10.00,32.985628,-94.210939
10.00,33.240985,-94.186220
10.00,33.436025,-94.208193
10.00,33.449777,-94.491091
10.00,33.765449,-95.177736
10.00,33.614619,-94.864626
10.00,33.715202,-96.699343
10.00,33.598607,-97.037172
10.00,33.701493,-97.344790
10.00,33.982086,-98.259401
10.00,33.988918,-98.638430
10.00,34.041281,-98.954287
10.00,34.120900,-99.300356
10.00,34.259487,-99.599733
10.00,33.918292,-99.465151
10.00,33.886378,-99.187746
25.00,35.137879,-100.374527
25.00,35.245619,-101.196785
25.00,35.218697,-102.009773
25.00,34.876918,-102.592049
25.00,35.576917,-102.592049
25.00,35.880149,-101.965828
25.00,35.933541,-101.295662
25.00,35.817813,-100.482674
10.00,35.554575,-101.591435
10.00,36.257563,-100.163212
10.00,36.341678,-100.481815
10.00,36.257563,-100.811405
10.00,36.363799,-101.146488
10.00,36.346103,-101.520023
10.00,36.319551,-101.844120
10.00,36.350527,-102.195683
10.00,36.354951,-102.871342
10.00,36.053540,-102.871342
10.00,36.102376,-102.547245
10.00,36.341678,-102.529907
5.00,35.442771,-100.731325
5.00,35.612651,-100.923586
5.00,34.964748,-100.827455
5.00,34.985003,-101.596498
5.00,35.505400,-100.083132
5.00,34.739356,-100.121584
5.00,34.418239,-99.871645
5.00,34.452219,-102.708864
5.00,34.529187,-102.906618
5.00,34.338900,-102.818727
5.00,34.384246,-102.939577
5.00,34.232242,-102.945070
5.00,34.093610,-102.945070
