Radius(in miles),Latitude,Longitude
100.00,32.797342,-110.808087
100.00,35.442771,-112.445068
50.00,34.846179,-109.885235
50.00,36.297418,-109.998550
50.00,33.358062,-113.360367
25.00,32.307379,-112.895470
25.00,36.650793,-111.051521
10.00,33.684035,-112.439556
10.00,33.865854,-112.182255
10.00,35.214210,-114.379091
10.00,34.942237,-114.453249
10.00,34.768692,-114.175844
10.00,34.481656,-114.148378
10.00,34.375179,-113.840761
10.00,34.148181,-114.049501
10.00,33.984364,-114.291201
10.00,33.683211,-114.357119
10.00,34.157273,-113.686953
10.00,33.909175,-113.991823
10.00,33.415395,-114.392824
10.00,33.220308,-114.508181
10.00,33.038601,-114.258242
10.00,32.597734,-114.601564
10.00,32.766491,-114.335146
10.00,32.766491,-114.046755
10.00,32.611616,-113.788576
10.00,32.549128,-113.494692
10.00,32.270878,-113.464479
10.00,32.356763,-113.722658
10.00,32.454156,-113.975344
10.00,32.495863,-114.304934
10.00,31.924193,-112.505922
10.00,31.826232,-112.195559
10.00,32.738772,-112.656984
10.00,31.477866,-109.886112
10.00,31.583215,-109.608278
10.00,31.798224,-109.396792
10.00,32.045333,-109.215517
10.00,31.466154,-109.361086
10.00,31.611288,-109.188051
10.00,34.032176,-109.668703
10.00,34.145908,-109.352846
10.00,33.856732,-109.405031
10.00,33.610045,-109.229250
10.00,34.313950,-111.129885
10.00,34.506557,-110.890932
10.00,34.352507,-110.668030
10.00,35.529991,-110.503664
10.00,35.817813,-109.215517
10.00,35.534461,-109.234743
10.00,36.826875,-109.221439
10.00,36.864240,-111.627445
10.00,36.857648,-113.866639
10.00,36.858746,-113.520570
10.00,36.856549,-113.185487
10.00,36.574709,-113.866632
5.00,34.230789,-111.354656
5.00,33.982086,-111.934633
5.00,33.913734,-112.450991
5.00,33.947917,-112.717409
5.00,33.833920,-112.604799
5.00,34.148181,-113.417573
5.00,36.912568,-112.906923
5.00,36.914764,-111.907167
5.00,36.927939,-112.096682
5.00,36.925743,-112.288942
5.00,36.921352,-112.470217
5.00,36.930135,-112.645998
5.00,36.655200,-113.621035
5.00,36.361587,-113.942385
5.00,35.005253,-114.203310
5.00,35.413677,-114.299226
5.00,35.408080,-114.475007
5.00,35.552340,-114.301972
5.00,35.697456,-114.289613
5.00,35.830062,-114.247041
5.00,36.043547,-114.624696
5.00,36.069082,-114.461274
5.00,35.893500,-114.586244
5.00,35.932429,-114.440675
5.00,35.963558,-114.293733
5.00,35.796652,-114.413209
5.00,35.758772,-114.590363
5.00,35.655065,-114.446168
5.00,35.609301,-114.569764
5.00,35.483038,-114.576631
5.00,35.521050,-114.435182
5.00,35.668454,-109.424257
5.00,35.576917,-109.536867
5.00,35.546753,-110.263124
5.00,35.349856,-110.610566
5.00,35.711953,-110.639405
5.00,34.050384,-111.778078
5.00,34.120900,-111.624269
5.00,33.675211,-112.217317
5.00,33.471545,-112.416444
5.00,33.551123,-112.309906
5.00,33.340854,-112.451356
5.00,33.833920,-109.149599
5.00,33.975254,-109.155092
5.00,34.116352,-109.122133
5.00,34.270836,-109.130373
5.00,34.074275,-109.896455
