Radius(in miles),Latitude,Longitude
100.00,41.517220,-100.220417
50.00,41.763532,-103.087848
50.00,40.797177,-97.659187
50.00,42.122673,-97.538338
25.00,40.372083,-101.560749
25.00,42.528796,-102.108650
25.00,42.617791,-103.536873
25.00,40.354917,-96.439705
25.00,41.186922,-96.345463
25.00,42.642041,-98.674564
10.00,41.492537,-98.176960
10.00,41.401536,-96.911259
10.00,41.594905,-96.658573
10.00,41.693424,-96.323490
10.00,41.951320,-96.405888
10.00,42.855833,-99.212894
10.00,42.730874,-101.509037
10.00,42.617791,-102.826538
10.00,42.839723,-102.607670
10.00,42.851806,-102.992191
10.00,41.153842,-103.860111
10.00,41.162114,-102.272587
10.00,40.430224,-98.680916
10.00,40.231315,-98.970766
10.00,40.222927,-98.481875
10.00,40.147389,-99.316835
10.00,40.159984,-96.995974
10.00,40.149488,-95.836916
10.00,40.741014,-96.067629
5.00,40.855791,-96.647113
5.00,40.741014,-96.627932
5.00,40.770142,-96.460390
5.00,40.763901,-96.306581
5.00,40.561808,-95.933046
5.00,40.419769,-95.883608
5.00,40.352824,-95.735292
5.00,40.162083,-95.565004
5.00,40.078071,-96.053896
5.00,40.078071,-95.512819
5.00,40.075970,-97.248659
5.00,40.141090,-98.215456
5.00,40.210343,-98.723574
5.00,40.071766,-98.781252
5.00,40.078071,-99.580507
5.00,40.141090,-101.082888
5.00,40.071766,-101.953554
5.00,40.086477,-100.898867
5.00,40.065461,-100.706606
5.00,40.073868,-100.508852
5.00,40.065461,-100.311098
5.00,40.069665,-99.770021
5.00,40.701464,-101.912355
5.00,40.826280,-101.945314
5.00,41.081421,-102.538576
5.00,41.370625,-102.208986
5.00,41.083492,-103.615236
5.00,41.075210,-103.439455
5.00,41.362380,-103.958559
5.00,42.065607,-102.108521
5.00,42.322001,-103.961306
5.00,42.195969,-103.947573
5.00,42.871938,-103.953066
5.00,42.930285,-103.837709
5.00,42.926263,-103.216982
5.00,42.920229,-102.329836
5.00,42.920229,-102.134829
5.00,42.916206,-101.942568
5.00,42.918218,-101.742067
5.00,42.926263,-101.544313
5.00,42.930285,-101.343813
5.00,42.928274,-101.162538
5.00,42.928274,-100.975771
5.00,42.926263,-100.797243
5.00,42.799431,-101.225710
5.00,42.922241,-99.484377
5.00,41.793840,-96.578493
5.00,42.157296,-96.435671
5.00,42.291533,-96.496096
5.00,42.415346,-96.567507
5.00,40.067563,-100.003481
5.00,40.075970,-98.045168
5.00,40.071766,-98.344545
5.00,40.071766,-98.580751
