Radius(in miles),Latitude,Longitude
100.00,47.395547,-101.902891
50.00,48.283193,-99.034195
50.00,46.927759,-98.801765
25.00,46.298546,-100.002256
25.00,46.286224,-97.527351
25.00,47.702368,-97.736092
25.00,46.912751,-97.290287
25.00,48.348948,-97.692146
25.00,48.611122,-100.361824
25.00,48.640169,-103.481941
10.00,47.566320,-99.573789
10.00,48.792390,-97.405214
10.00,48.808672,-97.830934
10.00,48.862908,-98.207216
10.00,47.253136,-97.682619
10.00,47.370455,-97.292604
10.00,47.611718,-97.083864
10.00,46.075136,-96.927309
10.00,46.327965,-96.864138
10.00,46.155102,-98.231936
10.00,46.139880,-99.308596
10.00,46.084662,-98.935061
10.00,46.075136,-98.586245
10.00,46.088472,-100.629702
10.00,46.092281,-103.087892
10.00,46.206448,-103.436708
10.00,46.396200,-103.708620
10.00,46.623034,-103.837709
10.00,46.107517,-103.823977
10.00,48.857487,-102.810917
10.00,48.850258,-101.009159
10.00,48.853873,-102.382450
10.00,48.228332,-103.832645
5.00,47.391828,-99.694639
5.00,47.698672,-99.761567
5.00,48.041365,-103.881655
5.00,47.920023,-103.933840
5.00,48.929718,-103.939333
5.00,48.927913,-103.076906
5.00,48.920695,-102.068911
5.00,48.922499,-101.849184
5.00,48.909865,-101.632204
5.00,48.917085,-101.338320
5.00,48.929718,-99.710970
5.00,48.925206,-99.924989
5.00,47.895399,-97.129655
5.00,48.042283,-97.225099
5.00,47.780866,-97.086396
5.00,47.433661,-96.962800
5.00,47.300653,-96.955934
5.00,46.568302,-96.866884
5.00,46.519186,-97.026186
5.00,46.337447,-98.111086
5.00,46.008409,-98.020449
5.00,46.157005,-96.680117
5.00,46.014131,-96.677370
5.00,46.021761,-99.555788
5.00,46.029389,-100.942812
5.00,46.008409,-100.396242
5.00,46.016039,-102.785769
5.00,46.016039,-103.546572
5.00,46.012224,-103.346071
5.00,46.312790,-103.950319
5.00,46.724800,-99.904604
