Radius(in miles),Latitude,Longitude
100.00,35.527563,-107.276340
100.00,33.468108,-104.791031
50.00,35.599060,-104.639621
50.00,33.431441,-107.405777
50.00,32.532921,-108.174820
25.00,34.953299,-103.584934
25.00,35.675147,-103.470955
25.00,36.341678,-103.492928
25.00,36.456636,-105.402832
25.00,36.615528,-104.536629
25.00,34.125448,-108.579598
25.00,33.504759,-108.621826
25.00,32.166313,-107.074471
25.00,32.648626,-106.547127
10.00,35.115221,-105.441623
10.00,34.863398,-105.601444
10.00,34.007135,-106.601200
10.00,34.075412,-108.051395
10.00,34.574430,-108.858891
10.00,31.844899,-108.864384
10.00,31.700130,-108.567753
10.00,31.522361,-108.864384
10.00,32.161663,-106.375980
10.00,32.282489,-106.046391
10.00,32.138409,-103.772221
10.00,32.296420,-103.503056
10.00,32.537552,-103.294315
10.00,32.152362,-103.244877
10.00,32.630123,-107.145023
10.00,34.890437,-104.128847
10.00,36.835668,-103.222904
10.00,36.826875,-103.953495
10.00,36.844461,-103.596439
10.00,36.672825,-105.958500
10.00,36.840065,-106.266117
10.00,36.848857,-105.749760
10.00,36.853252,-105.041141
10.00,34.357042,-103.217411
10.00,34.506557,-103.442631
10.00,36.434542,-108.864384
10.00,36.664013,-108.650150
10.00,36.831272,-108.342533
10.00,36.822478,-108.847904
5.00,34.961177,-105.243869
5.00,34.777716,-108.943605
5.00,34.926475,-108.951845
5.00,33.107648,-108.822756
5.00,33.188134,-108.976564
5.00,32.992539,-108.954592
5.00,32.066283,-108.946352
5.00,31.480209,-108.611269
5.00,31.522361,-108.443727
5.00,31.639352,-108.331118
5.00,31.438037,-108.306398
5.00,31.865895,-107.630739
5.00,31.865895,-107.454958
5.00,31.844899,-106.721621
5.00,32.073266,-106.597810
5.00,32.213963,-106.597810
5.00,32.087229,-106.145997
5.00,32.227905,-105.819154
5.00,32.077920,-105.978455
5.00,32.087229,-105.809541
5.00,32.155850,-105.665345
5.00,32.084902,-105.506043
5.00,32.088392,-104.020143
5.00,32.082575,-103.506532
5.00,32.377642,-103.154969
5.00,32.713355,-103.156342
5.00,32.859979,-103.154969
5.00,34.145908,-103.137331
5.00,34.578952,-103.189516
5.00,34.725812,-103.137331
5.00,35.274774,-103.233461
5.00,36.000230,-103.812990
5.00,36.113471,-103.922854
5.00,36.235412,-104.035463
5.00,36.277493,-104.208498
5.00,36.379279,-104.068422
5.00,36.518466,-104.002504
5.00,36.622141,-103.889894
5.00,36.626550,-103.118105
5.00,36.919156,-104.175539
5.00,36.881818,-105.304384
5.00,36.888408,-105.474672
5.00,36.899391,-106.013002
5.00,36.912568,-106.537600
5.00,36.905980,-108.075686
5.00,36.934525,-107.899904
5.00,36.881818,-108.589296
5.00,36.202174,-108.943605
5.00,36.011339,-105.499392
5.00,34.062899,-106.860108
5.00,34.182270,-106.409669
5.00,33.781430,-106.554079
5.00,33.829357,-108.221254
